"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"61 years"	"61"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2330	8180780	28.5
	"61 years"	"61"	"Assault"	"X85-Y09"	"Female"	"F"	165	8759058	1.9
	"61 years"	"61"	"Assault"	"X85-Y09"	"Male"	"M"	415	8180780	5.1
	"61 years"	"61"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	132	8759058	1.5
	"61 years"	"61"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	230	8180780	2.8
	"61 years"	"61"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	29	8180780	0.4
	"61 years"	"61"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	180	8759058	2.1
	"61 years"	"61"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	212	8180780	2.6
	"61 years"	"61"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	44	8759058	0.5
	"61 years"	"61"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	171	8180780	2.1
	"62 years"	"62"	"Transport accidents"	"V01-V99"	"Female"	"F"	659	8615409	7.6
	"62 years"	"62"	"Transport accidents"	"V01-V99"	"Male"	"M"	1884	7981835	23.6
	"62 years"	"62"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2260	8615409	26.2
	"62 years"	"62"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	5282	7981835	66.2
	"62 years"	"62"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	603	8615409	7.0
	"62 years"	"62"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2217	7981835	27.8
	"62 years"	"62"	"Assault"	"X85-Y09"	"Female"	"F"	158	8615409	1.8
	"62 years"	"62"	"Assault"	"X85-Y09"	"Male"	"M"	398	7981835	5.0
	"62 years"	"62"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	130	8615409	1.5
	"62 years"	"62"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	239	7981835	3.0
	"62 years"	"62"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	17	7981835	Unreliable
	"62 years"	"62"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	183	8615409	2.1
	"62 years"	"62"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	238	7981835	3.0
	"62 years"	"62"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	46	8615409	0.5
	"62 years"	"62"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	156	7981835	2.0
	"63 years"	"63"	"Transport accidents"	"V01-V99"	"Female"	"F"	576	8485433	6.8
	"63 years"	"63"	"Transport accidents"	"V01-V99"	"Male"	"M"	1822	7807575	23.3
	"63 years"	"63"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2232	8485433	26.3
	"63 years"	"63"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	5134	7807575	65.8
	"63 years"	"63"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	617	8485433	7.3
	"63 years"	"63"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2017	7807575	25.8
	"63 years"	"63"	"Assault"	"X85-Y09"	"Female"	"F"	147	8485433	1.7
	"63 years"	"63"	"Assault"	"X85-Y09"	"Male"	"M"	359	7807575	4.6
	"63 years"	"63"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	112	8485433	1.3
	"63 years"	"63"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	226	7807575	2.9
	"63 years"	"63"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	15	7807575	Unreliable
	"63 years"	"63"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	184	8485433	2.2
	"63 years"	"63"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	248	7807575	3.2
	"63 years"	"63"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	43	8485433	0.5
	"63 years"	"63"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	172	7807575	2.2
	"64 years"	"64"	"Transport accidents"	"V01-V99"	"Female"	"F"	569	8280324	6.9
	"64 years"	"64"	"Transport accidents"	"V01-V99"	"Male"	"M"	1691	7553448	22.4
	"64 years"	"64"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2077	8280324	25.1
	"64 years"	"64"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	4699	7553448	62.2
	"64 years"	"64"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	571	8280324	6.9
	"64 years"	"64"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2045	7553448	27.1
	"64 years"	"64"	"Assault"	"X85-Y09"	"Female"	"F"	134	8280324	1.6
	"64 years"	"64"	"Assault"	"X85-Y09"	"Male"	"M"	319	7553448	4.2
	"64 years"	"64"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	97	8280324	1.2
	"64 years"	"64"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	206	7553448	2.7
	"64 years"	"64"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	188	8280324	2.3
	"64 years"	"64"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	292	7553448	3.9
	"64 years"	"64"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	50	8280324	0.6
	"64 years"	"64"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	150	7553448	2.0
	"65 years"	"65"	"Transport accidents"	"V01-V99"	"Female"	"F"	557	8020640	6.9
	"65 years"	"65"	"Transport accidents"	"V01-V99"	"Male"	"M"	1648	7249134	22.7
	"65 years"	"65"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	1981	8020640	24.7
	"65 years"	"65"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	4412	7249134	60.9
	"65 years"	"65"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	524	8020640	6.5
	"65 years"	"65"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	1846	7249134	25.5
	"65 years"	"65"	"Assault"	"X85-Y09"	"Female"	"F"	142	8020640	1.8
	"65 years"	"65"	"Assault"	"X85-Y09"	"Male"	"M"	301	7249134	4.2
	"65 years"	"65"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	92	8020640	1.1
	"65 years"	"65"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	171	7249134	2.4
	"65 years"	"65"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	11	7249134	Unreliable
	"65 years"	"65"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	212	8020640	2.6
	"65 years"	"65"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	300	7249134	4.1
	"65 years"	"65"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	54	8020640	0.7
	"65 years"	"65"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	141	7249134	1.9
	"66 years"	"66"	"Transport accidents"	"V01-V99"	"Female"	"F"	534	7744468	6.9
	"66 years"	"66"	"Transport accidents"	"V01-V99"	"Male"	"M"	1484	6944891	21.4
	"66 years"	"66"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	1871	7744468	24.2
	"66 years"	"66"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	4048	6944891	58.3
	"66 years"	"66"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	451	7744468	5.8
	"66 years"	"66"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	1739	6944891	25.0
	"66 years"	"66"	"Assault"	"X85-Y09"	"Female"	"F"	122	7744468	1.6
	"66 years"	"66"	"Assault"	"X85-Y09"	"Male"	"M"	282	6944891	4.1
	"66 years"	"66"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	66	7744468	0.9
	"66 years"	"66"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	149	6944891	2.1
	"66 years"	"66"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	210	7744468	2.7
	"66 years"	"66"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	296	6944891	4.3
	"66 years"	"66"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	45	7744468	0.6
	"66 years"	"66"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	125	6944891	1.8
	"67 years"	"67"	"Transport accidents"	"V01-V99"	"Female"	"F"	544	7471320	7.3
	"67 years"	"67"	"Transport accidents"	"V01-V99"	"Male"	"M"	1434	6649342	21.6
	"67 years"	"67"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	1809	7471320	24.2
	"67 years"	"67"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	3886	6649342	58.4
	"67 years"	"67"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	473	7471320	6.3
	"67 years"	"67"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	1697	6649342	25.5
	"67 years"	"67"	"Assault"	"X85-Y09"	"Female"	"F"	112	7471320	1.5
	"67 years"	"67"	"Assault"	"X85-Y09"	"Male"	"M"	216	6649342	3.2
	"67 years"	"67"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	71	7471320	1.0
	"67 years"	"67"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	138	6649342	2.1
	"67 years"	"67"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	262	7471320	3.5
	"67 years"	"67"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	299	6649342	4.5
	"67 years"	"67"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	37	7471320	0.5
	"67 years"	"67"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	147	6649342	2.2
	"68 years"	"68"	"Transport accidents"	"V01-V99"	"Female"	"F"	520	7214561	7.2
	"68 years"	"68"	"Transport accidents"	"V01-V99"	"Male"	"M"	1404	6383036	22.0
	"68 years"	"68"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	1779	7214561	24.7
	"68 years"	"68"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	3552	6383036	55.6
	"68 years"	"68"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	445	7214561	6.2
	"68 years"	"68"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	1636	6383036	25.6
	"68 years"	"68"	"Assault"	"X85-Y09"	"Female"	"F"	110	7214561	1.5
	"68 years"	"68"	"Assault"	"X85-Y09"	"Male"	"M"	191	6383036	3.0
	"68 years"	"68"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	62	7214561	0.9
	"68 years"	"68"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	129	6383036	2.0
	"68 years"	"68"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	241	7214561	3.3
	"68 years"	"68"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	318	6383036	5.0
	"68 years"	"68"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	38	7214561	0.5
	"68 years"	"68"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	171	6383036	2.7
	"69 years"	"69"	"Transport accidents"	"V01-V99"	"Female"	"F"	494	6985742	7.1
	"69 years"	"69"	"Transport accidents"	"V01-V99"	"Male"	"M"	1331	6146747	21.7
	"69 years"	"69"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	1735	6985742	24.8
	"69 years"	"69"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	3307	6146747	53.8
	"69 years"	"69"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	420	6985742	6.0
	"69 years"	"69"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	1630	6146747	26.5
	"69 years"	"69"	"Assault"	"X85-Y09"	"Female"	"F"	79	6985742	1.1
	"69 years"	"69"	"Assault"	"X85-Y09"	"Male"	"M"	193	6146747	3.1
	"69 years"	"69"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	51	6985742	0.7
	"69 years"	"69"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	118	6146747	1.9
	"69 years"	"69"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	226	6985742	3.2
	"69 years"	"69"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	320	6146747	5.2
	"69 years"	"69"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	44	6985742	0.6
	"69 years"	"69"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	157	6146747	2.6
	"70 years"	"70"	"Transport accidents"	"V01-V99"	"Female"	"F"	510	6774444	7.5
	"70 years"	"70"	"Transport accidents"	"V01-V99"	"Male"	"M"	1218	5928404	20.5
	"70 years"	"70"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	1753	6774444	25.9
	"70 years"	"70"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	3282	5928404	55.4
	"70 years"	"70"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	404	6774444	6.0
	"70 years"	"70"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	1565	5928404	26.4
	"70 years"	"70"	"Assault"	"X85-Y09"	"Female"	"F"	82	6774444	1.2
	"70 years"	"70"	"Assault"	"X85-Y09"	"Male"	"M"	169	5928404	2.9
	"70 years"	"70"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	47	6774444	0.7
	"70 years"	"70"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	86	5928404	1.5
	"70 years"	"70"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	259	6774444	3.8
	"70 years"	"70"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	340	5928404	5.7
	"70 years"	"70"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	45	6774444	0.7
	"70 years"	"70"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	121	5928404	2.0
	"71 years"	"71"	"Transport accidents"	"V01-V99"	"Female"	"F"	546	6675822	8.2
	"71 years"	"71"	"Transport accidents"	"V01-V99"	"Male"	"M"	1214	5818934	20.9
	"71 years"	"71"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	1881	6675822	28.2
	"71 years"	"71"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	3257	5818934	56.0
	"71 years"	"71"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	368	6675822	5.5
	"71 years"	"71"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	1492	5818934	25.6
	"71 years"	"71"	"Assault"	"X85-Y09"	"Female"	"F"	113	6675822	1.7
	"71 years"	"71"	"Assault"	"X85-Y09"	"Male"	"M"	153	5818934	2.6
	"71 years"	"71"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	46	6675822	0.7
	"71 years"	"71"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	71	5818934	1.2
	"71 years"	"71"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	275	6675822	4.1
	"71 years"	"71"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	301	5818934	5.2
	"71 years"	"71"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	39	6675822	0.6
	"71 years"	"71"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	121	5818934	2.1
	"72 years"	"72"	"Transport accidents"	"V01-V99"	"Female"	"F"	489	6211115	7.9
	"72 years"	"72"	"Transport accidents"	"V01-V99"	"Male"	"M"	1174	5377447	21.8
	"72 years"	"72"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	1985	6211115	32.0
	"72 years"	"72"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	3192	5377447	59.4
	"72 years"	"72"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	314	6211115	5.1
	"72 years"	"72"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	1437	5377447	26.7
	"72 years"	"72"	"Assault"	"X85-Y09"	"Female"	"F"	93	6211115	1.5
	"72 years"	"72"	"Assault"	"X85-Y09"	"Male"	"M"	141	5377447	2.6
	"72 years"	"72"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	41	6211115	0.7
	"72 years"	"72"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	68	5377447	1.3
	"72 years"	"72"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	277	6211115	4.5
	"72 years"	"72"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	332	5377447	6.2
	"72 years"	"72"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	42	6211115	0.7
	"72 years"	"72"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	97	5377447	1.8
	"73 years"	"73"	"Transport accidents"	"V01-V99"	"Female"	"F"	496	5762935	8.6
	"73 years"	"73"	"Transport accidents"	"V01-V99"	"Male"	"M"	1094	4950546	22.1
	"73 years"	"73"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2006	5762935	34.8
	"73 years"	"73"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	3042	4950546	61.4
	"73 years"	"73"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	293	5762935	5.1
	"73 years"	"73"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	1356	4950546	27.4
	"73 years"	"73"	"Assault"	"X85-Y09"	"Female"	"F"	86	5762935	1.5
	"73 years"	"73"	"Assault"	"X85-Y09"	"Male"	"M"	125	4950546	2.5
	"73 years"	"73"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	34	5762935	0.6
	"73 years"	"73"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	61	4950546	1.2
	"73 years"	"73"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	293	5762935	5.1
	"73 years"	"73"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	304	4950546	6.1
	"73 years"	"73"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	44	5762935	0.8
	"73 years"	"73"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	106	4950546	2.1
	"74 years"	"74"	"Transport accidents"	"V01-V99"	"Female"	"F"	507	5331932	9.5
	"74 years"	"74"	"Transport accidents"	"V01-V99"	"Male"	"M"	1002	4549809	22.0
	"74 years"	"74"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2061	5331932	38.7
	"74 years"	"74"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	3063	4549809	67.3
	"74 years"	"74"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	278	5331932	5.2
	"74 years"	"74"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	1318	4549809	29.0
	"74 years"	"74"	"Assault"	"X85-Y09"	"Female"	"F"	95	5331932	1.8
	"74 years"	"74"	"Assault"	"X85-Y09"	"Male"	"M"	121	4549809	2.7
	"74 years"	"74"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	40	5331932	0.8
	"74 years"	"74"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	60	4549809	1.3
	"74 years"	"74"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	280	5331932	5.3
	"74 years"	"74"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	324	4549809	7.1
	"74 years"	"74"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	39	5331932	0.7
	"74 years"	"74"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	78	4549809	1.7
	"75 years"	"75"	"Transport accidents"	"V01-V99"	"Female"	"F"	491	4830197	10.2
	"75 years"	"75"	"Transport accidents"	"V01-V99"	"Male"	"M"	920	4038815	22.8
	"75 years"	"75"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2034	4830197	42.1
	"75 years"	"75"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	3033	4038815	75.1
	"75 years"	"75"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	224	4830197	4.6
	"75 years"	"75"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	1304	4038815	32.3
	"75 years"	"75"	"Assault"	"X85-Y09"	"Female"	"F"	79	4830197	1.6
	"75 years"	"75"	"Assault"	"X85-Y09"	"Male"	"M"	87	4038815	2.2
	"75 years"	"75"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	45	4830197	0.9
	"75 years"	"75"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	52	4038815	1.3
	"75 years"	"75"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	278	4830197	5.8
	"75 years"	"75"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	320	4038815	7.9
	"75 years"	"75"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	45	4830197	0.9
	"75 years"	"75"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	91	4038815	2.3
	"76 years"	"76"	"Transport accidents"	"V01-V99"	"Female"	"F"	460	4598341	10.0
	"76 years"	"76"	"Transport accidents"	"V01-V99"	"Male"	"M"	930	3792535	24.5
	"76 years"	"76"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2299	4598341	50.0
	"76 years"	"76"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	3143	3792535	82.9
	"76 years"	"76"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	248	4598341	5.4
	"76 years"	"76"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	1307	3792535	34.5
	"76 years"	"76"	"Assault"	"X85-Y09"	"Female"	"F"	63	4598341	1.4
	"76 years"	"76"	"Assault"	"X85-Y09"	"Male"	"M"	95	3792535	2.5
	"76 years"	"76"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	24	4598341	0.5
	"76 years"	"76"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	44	3792535	1.2
	"76 years"	"76"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	253	4598341	5.5
	"76 years"	"76"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	325	3792535	8.6
	"76 years"	"76"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	45	4598341	1.0
	"76 years"	"76"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	104	3792535	2.7
	"77 years"	"77"	"Transport accidents"	"V01-V99"	"Female"	"F"	483	4324689	11.2
	"77 years"	"77"	"Transport accidents"	"V01-V99"	"Male"	"M"	901	3512822	25.6
	"77 years"	"77"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2558	4324689	59.1
	"77 years"	"77"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	3170	3512822	90.2
	"77 years"	"77"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	197	4324689	4.6
	"77 years"	"77"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	1240	3512822	35.3
	"77 years"	"77"	"Assault"	"X85-Y09"	"Female"	"F"	58	4324689	1.3
	"77 years"	"77"	"Assault"	"X85-Y09"	"Male"	"M"	78	3512822	2.2
	"77 years"	"77"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	36	4324689	0.8
	"77 years"	"77"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	37	3512822	1.1
	"77 years"	"77"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	254	4324689	5.9
	"77 years"	"77"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	316	3512822	9.0
	"77 years"	"77"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	42	4324689	1.0
	"77 years"	"77"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	65	3512822	1.9
	"78 years"	"78"	"Transport accidents"	"V01-V99"	"Female"	"F"	506	4015452	12.6
	"78 years"	"78"	"Transport accidents"	"V01-V99"	"Male"	"M"	821	3209536	25.6
	"78 years"	"78"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2456	4015452	61.2
	"78 years"	"78"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	3270	3209536	101.9
	"78 years"	"78"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	190	4015452	4.7
	"78 years"	"78"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	1158	3209536	36.1
	"78 years"	"78"	"Assault"	"X85-Y09"	"Female"	"F"	63	4015452	1.6
	"78 years"	"78"	"Assault"	"X85-Y09"	"Male"	"M"	72	3209536	2.2
	"78 years"	"78"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	27	4015452	0.7
	"78 years"	"78"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	47	3209536	1.5
	"78 years"	"78"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	234	4015452	5.8
	"78 years"	"78"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	279	3209536	8.7
	"78 years"	"78"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	44	4015452	1.1
	"78 years"	"78"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	74	3209536	2.3
	"79 years"	"79"	"Transport accidents"	"V01-V99"	"Female"	"F"	423	3633387	11.6
	"79 years"	"79"	"Transport accidents"	"V01-V99"	"Male"	"M"	782	2855559	27.4
	"79 years"	"79"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2717	3633387	74.8
	"79 years"	"79"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	3376	2855559	118.2
	"79 years"	"79"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	165	3633387	4.5
	"79 years"	"79"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	1078	2855559	37.8
	"79 years"	"79"	"Assault"	"X85-Y09"	"Female"	"F"	70	3633387	1.9
	"79 years"	"79"	"Assault"	"X85-Y09"	"Male"	"M"	60	2855559	2.1
	"79 years"	"79"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	18	3633387	Unreliable
	"79 years"	"79"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	34	2855559	1.2
	"79 years"	"79"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	249	3633387	6.9
	"79 years"	"79"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	308	2855559	10.8
	"79 years"	"79"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	48	3633387	1.3
	"79 years"	"79"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	62	2855559	2.2
	"80 years"	"80"	"Transport accidents"	"V01-V99"	"Female"	"F"	408	3364310	12.1
	"80 years"	"80"	"Transport accidents"	"V01-V99"	"Male"	"M"	726	2597120	28.0
	"80 years"	"80"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2838	3364310	84.4
