"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"54 years"	"54"	"External causes of morbidity and mortality"	"V01-Y89"	16350	16815917	97.2
	"55 years"	"55"	"Certain infectious and parasitic diseases"	"A00-B99"	3434	17165921	20.0
	"55 years"	"55"	"Neoplasms"	"C00-D48"	27878	17165921	162.4
	"55 years"	"55"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	490	17165921	2.9
	"55 years"	"55"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	6842	17165921	39.9
	"55 years"	"55"	"Mental and behavioural disorders"	"F01-F99"	2418	17165921	14.1
	"55 years"	"55"	"Diseases of the nervous system"	"G00-G98"	2881	17165921	16.8
	"55 years"	"55"	"Diseases of the circulatory system"	"I00-I99"	28446	17165921	165.7
	"55 years"	"55"	"Diseases of the respiratory system"	"J00-J98"	6745	17165921	39.3
	"55 years"	"55"	"Diseases of the digestive system"	"K00-K92"	8546	17165921	49.8
	"55 years"	"55"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	248	17165921	1.4
	"55 years"	"55"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	570	17165921	3.3
	"55 years"	"55"	"Diseases of the genitourinary system"	"N00-N98"	1960	17165921	11.4
	"55 years"	"55"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	425	17165921	2.5
	"55 years"	"55"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1089	17165921	6.3
	"55 years"	"55"	"Codes for special purposes"	"U00-U99"	7891	17165921	46.0
	"55 years"	"55"	"External causes of morbidity and mortality"	"V01-Y89"	16829	17165921	98.0
	"56 years"	"56"	"Certain infectious and parasitic diseases"	"A00-B99"	3779	17362244	21.8
	"56 years"	"56"	"Neoplasms"	"C00-D48"	31424	17362244	181.0
	"56 years"	"56"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	507	17362244	2.9
	"56 years"	"56"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	7578	17362244	43.6
	"56 years"	"56"	"Mental and behavioural disorders"	"F01-F99"	2627	17362244	15.1
	"56 years"	"56"	"Diseases of the nervous system"	"G00-G98"	3242	17362244	18.7
	"56 years"	"56"	"Diseases of the circulatory system"	"I00-I99"	32028	17362244	184.5
	"56 years"	"56"	"Diseases of the respiratory system"	"J00-J98"	7730	17362244	44.5
	"56 years"	"56"	"Diseases of the digestive system"	"K00-K92"	9326	17362244	53.7
	"56 years"	"56"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	283	17362244	1.6
	"56 years"	"56"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	615	17362244	3.5
	"56 years"	"56"	"Diseases of the genitourinary system"	"N00-N98"	2250	17362244	13.0
	"56 years"	"56"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	457	17362244	2.6
	"56 years"	"56"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1178	17362244	6.8
	"56 years"	"56"	"Codes for special purposes"	"U00-U99"	8976	17362244	51.7
	"56 years"	"56"	"External causes of morbidity and mortality"	"V01-Y89"	16916	17362244	97.4
	"57 years"	"57"	"Certain infectious and parasitic diseases"	"A00-B99"	4021	17476411	23.0
	"57 years"	"57"	"Neoplasms"	"C00-D48"	35406	17476411	202.6
	"57 years"	"57"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	558	17476411	3.2
	"57 years"	"57"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	8125	17476411	46.5
	"57 years"	"57"	"Mental and behavioural disorders"	"F01-F99"	2757	17476411	15.8
	"57 years"	"57"	"Diseases of the nervous system"	"G00-G98"	3612	17476411	20.7
	"57 years"	"57"	"Diseases of the circulatory system"	"I00-I99"	35242	17476411	201.7
	"57 years"	"57"	"Diseases of the respiratory system"	"J00-J98"	8954	17476411	51.2
	"57 years"	"57"	"Diseases of the digestive system"	"K00-K92"	9758	17476411	55.8
	"57 years"	"57"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	276	17476411	1.6
	"57 years"	"57"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	702	17476411	4.0
	"57 years"	"57"	"Diseases of the genitourinary system"	"N00-N98"	2626	17476411	15.0
	"57 years"	"57"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	550	17476411	3.1
	"57 years"	"57"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1309	17476411	7.5
	"57 years"	"57"	"Codes for special purposes"	"U00-U99"	9431	17476411	54.0
	"57 years"	"57"	"External causes of morbidity and mortality"	"V01-Y89"	17137	17476411	98.1
	"58 years"	"58"	"Certain infectious and parasitic diseases"	"A00-B99"	4367	17530131	24.9
	"58 years"	"58"	"Neoplasms"	"C00-D48"	38920	17530131	222.0
	"58 years"	"58"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	621	17530131	3.5
	"58 years"	"58"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	8780	17530131	50.1
	"58 years"	"58"	"Mental and behavioural disorders"	"F01-F99"	2815	17530131	16.1
	"58 years"	"58"	"Diseases of the nervous system"	"G00-G98"	4015	17530131	22.9
	"58 years"	"58"	"Diseases of the circulatory system"	"I00-I99"	38209	17530131	218.0
	"58 years"	"58"	"Diseases of the respiratory system"	"J00-J98"	10196	17530131	58.2
	"58 years"	"58"	"Diseases of the digestive system"	"K00-K92"	10158	17530131	57.9
	"58 years"	"58"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	300	17530131	1.7
	"58 years"	"58"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	756	17530131	4.3
	"58 years"	"58"	"Diseases of the genitourinary system"	"N00-N98"	2830	17530131	16.1
	"58 years"	"58"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	573	17530131	3.3
	"58 years"	"58"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1353	17530131	7.7
	"58 years"	"58"	"Codes for special purposes"	"U00-U99"	10260	17530131	58.5
	"58 years"	"58"	"External causes of morbidity and mortality"	"V01-Y89"	17069	17530131	97.4
	"59 years"	"59"	"Certain infectious and parasitic diseases"	"A00-B99"	4695	17454082	26.9
	"59 years"	"59"	"Neoplasms"	"C00-D48"	43428	17454082	248.8
	"59 years"	"59"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	595	17454082	3.4
	"59 years"	"59"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	9414	17454082	53.9
	"59 years"	"59"	"Mental and behavioural disorders"	"F01-F99"	3013	17454082	17.3
	"59 years"	"59"	"Diseases of the nervous system"	"G00-G98"	4278	17454082	24.5
	"59 years"	"59"	"Diseases of the circulatory system"	"I00-I99"	41189	17454082	236.0
	"59 years"	"59"	"Diseases of the respiratory system"	"J00-J98"	11794	17454082	67.6
	"59 years"	"59"	"Diseases of the digestive system"	"K00-K92"	10687	17454082	61.2
	"59 years"	"59"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	270	17454082	1.5
	"59 years"	"59"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	812	17454082	4.7
	"59 years"	"59"	"Diseases of the genitourinary system"	"N00-N98"	3098	17454082	17.7
	"59 years"	"59"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	524	17454082	3.0
	"59 years"	"59"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1358	17454082	7.8
	"59 years"	"59"	"Codes for special purposes"	"U00-U99"	11291	17454082	64.7
	"59 years"	"59"	"External causes of morbidity and mortality"	"V01-Y89"	16461	17454082	94.3
	"60 years"	"60"	"Certain infectious and parasitic diseases"	"A00-B99"	4943	17275263	28.6
	"60 years"	"60"	"Neoplasms"	"C00-D48"	47161	17275263	273.0
	"60 years"	"60"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	675	17275263	3.9
	"60 years"	"60"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	10121	17275263	58.6
	"60 years"	"60"	"Mental and behavioural disorders"	"F01-F99"	3056	17275263	17.7
	"60 years"	"60"	"Diseases of the nervous system"	"G00-G98"	4823	17275263	27.9
	"60 years"	"60"	"Diseases of the circulatory system"	"I00-I99"	44785	17275263	259.2
	"60 years"	"60"	"Diseases of the respiratory system"	"J00-J98"	12797	17275263	74.1
	"60 years"	"60"	"Diseases of the digestive system"	"K00-K92"	10936	17275263	63.3
	"60 years"	"60"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	325	17275263	1.9
	"60 years"	"60"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	815	17275263	4.7
	"60 years"	"60"	"Diseases of the genitourinary system"	"N00-N98"	3364	17275263	19.5
	"60 years"	"60"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	548	17275263	3.2
	"60 years"	"60"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1497	17275263	8.7
	"60 years"	"60"	"Codes for special purposes"	"U00-U99"	12067	17275263	69.9
	"60 years"	"60"	"External causes of morbidity and mortality"	"V01-Y89"	15796	17275263	91.4
	"61 years"	"61"	"Certain infectious and parasitic diseases"	"A00-B99"	5209	16939838	30.7
	"61 years"	"61"	"Neoplasms"	"C00-D48"	51844	16939838	306.0
	"61 years"	"61"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	707	16939838	4.2
	"61 years"	"61"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	10790	16939838	63.7
	"61 years"	"61"	"Mental and behavioural disorders"	"F01-F99"	3062	16939838	18.1
	"61 years"	"61"	"Diseases of the nervous system"	"G00-G98"	5113	16939838	30.2
	"61 years"	"61"	"Diseases of the circulatory system"	"I00-I99"	47508	16939838	280.5
	"61 years"	"61"	"Diseases of the respiratory system"	"J00-J98"	14335	16939838	84.6
	"61 years"	"61"	"Diseases of the digestive system"	"K00-K92"	11128	16939838	65.7
	"61 years"	"61"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	364	16939838	2.1
	"61 years"	"61"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	926	16939838	5.5
	"61 years"	"61"	"Diseases of the genitourinary system"	"N00-N98"	3793	16939838	22.4
	"61 years"	"61"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	496	16939838	2.9
	"61 years"	"61"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1522	16939838	9.0
	"61 years"	"61"	"Codes for special purposes"	"U00-U99"	12717	16939838	75.1
	"61 years"	"61"	"External causes of morbidity and mortality"	"V01-Y89"	15274	16939838	90.2
	"62 years"	"62"	"Certain infectious and parasitic diseases"	"A00-B99"	5409	16597244	32.6
	"62 years"	"62"	"Neoplasms"	"C00-D48"	54696	16597244	329.5
	"62 years"	"62"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	701	16597244	4.2
	"62 years"	"62"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	11403	16597244	68.7
	"62 years"	"62"	"Mental and behavioural disorders"	"F01-F99"	3236	16597244	19.5
	"62 years"	"62"	"Diseases of the nervous system"	"G00-G98"	5570	16597244	33.6
	"62 years"	"62"	"Diseases of the circulatory system"	"I00-I99"	51028	16597244	307.4
	"62 years"	"62"	"Diseases of the respiratory system"	"J00-J98"	15743	16597244	94.9
	"62 years"	"62"	"Diseases of the digestive system"	"K00-K92"	11077	16597244	66.7
	"62 years"	"62"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	366	16597244	2.2
	"62 years"	"62"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	974	16597244	5.9
	"62 years"	"62"	"Diseases of the genitourinary system"	"N00-N98"	3915	16597244	23.6
	"62 years"	"62"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	468	16597244	2.8
	"62 years"	"62"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1509	16597244	9.1
	"62 years"	"62"	"Codes for special purposes"	"U00-U99"	13662	16597244	82.3
	"62 years"	"62"	"External causes of morbidity and mortality"	"V01-Y89"	14472	16597244	87.2
	"63 years"	"63"	"Certain infectious and parasitic diseases"	"A00-B99"	5570	16293008	34.2
	"63 years"	"63"	"Neoplasms"	"C00-D48"	58308	16293008	357.9
	"63 years"	"63"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	765	16293008	4.7
	"63 years"	"63"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	11891	16293008	73.0
	"63 years"	"63"	"Mental and behavioural disorders"	"F01-F99"	3300	16293008	20.3
	"63 years"	"63"	"Diseases of the nervous system"	"G00-G98"	6116	16293008	37.5
	"63 years"	"63"	"Diseases of the circulatory system"	"I00-I99"	53762	16293008	330.0
	"63 years"	"63"	"Diseases of the respiratory system"	"J00-J98"	16931	16293008	103.9
	"63 years"	"63"	"Diseases of the digestive system"	"K00-K92"	11480	16293008	70.5
	"63 years"	"63"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	406	16293008	2.5
	"63 years"	"63"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	1066	16293008	6.5
	"63 years"	"63"	"Diseases of the genitourinary system"	"N00-N98"	4273	16293008	26.2
	"63 years"	"63"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	496	16293008	3.0
	"63 years"	"63"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1620	16293008	9.9
	"63 years"	"63"	"Codes for special purposes"	"U00-U99"	14523	16293008	89.1
	"63 years"	"63"	"External causes of morbidity and mortality"	"V01-Y89"	13904	16293008	85.3
	"64 years"	"64"	"Certain infectious and parasitic diseases"	"A00-B99"	5725	15833772	36.2
	"64 years"	"64"	"Neoplasms"	"C00-D48"	60835	15833772	384.2
	"64 years"	"64"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	776	15833772	4.9
	"64 years"	"64"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	12509	15833772	79.0
	"64 years"	"64"	"Mental and behavioural disorders"	"F01-F99"	3321	15833772	21.0
	"64 years"	"64"	"Diseases of the nervous system"	"G00-G98"	6515	15833772	41.1
	"64 years"	"64"	"Diseases of the ear and mastoid process"	"H60-H93"	10	15833772	Unreliable
	"64 years"	"64"	"Diseases of the circulatory system"	"I00-I99"	56164	15833772	354.7
	"64 years"	"64"	"Diseases of the respiratory system"	"J00-J98"	17808	15833772	112.5
	"64 years"	"64"	"Diseases of the digestive system"	"K00-K92"	11184	15833772	70.6
	"64 years"	"64"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	438	15833772	2.8
	"64 years"	"64"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	1072	15833772	6.8
	"64 years"	"64"	"Diseases of the genitourinary system"	"N00-N98"	4583	15833772	28.9
	"64 years"	"64"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	429	15833772	2.7
	"64 years"	"64"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1554	15833772	9.8
	"64 years"	"64"	"Codes for special purposes"	"U00-U99"	15027	15833772	94.9
	"64 years"	"64"	"External causes of morbidity and mortality"	"V01-Y89"	13097	15833772	82.7
	"65 years"	"65"	"Certain infectious and parasitic diseases"	"A00-B99"	5806	15269774	38.0
	"65 years"	"65"	"Neoplasms"	"C00-D48"	62479	15269774	409.2
	"65 years"	"65"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	817	15269774	5.4
	"65 years"	"65"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	12785	15269774	83.7
	"65 years"	"65"	"Mental and behavioural disorders"	"F01-F99"	3362	15269774	22.0
	"65 years"	"65"	"Diseases of the nervous system"	"G00-G98"	7273	15269774	47.6
	"65 years"	"65"	"Diseases of the circulatory system"	"I00-I99"	57433	15269774	376.1
	"65 years"	"65"	"Diseases of the respiratory system"	"J00-J98"	18887	15269774	123.7
	"65 years"	"65"	"Diseases of the digestive system"	"K00-K92"	11206	15269774	73.4
	"65 years"	"65"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	456	15269774	3.0
	"65 years"	"65"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	1148	15269774	7.5
	"65 years"	"65"	"Diseases of the genitourinary system"	"N00-N98"	4839	15269774	31.7
	"65 years"	"65"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	376	15269774	2.5
	"65 years"	"65"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1620	15269774	10.6
	"65 years"	"65"	"Codes for special purposes"	"U00-U99"	15574	15269774	102.0
	"65 years"	"65"	"External causes of morbidity and mortality"	"V01-Y89"	12392	15269774	81.2
	"66 years"	"66"	"Certain infectious and parasitic diseases"	"A00-B99"	5931	14689359	40.4
	"66 years"	"66"	"Neoplasms"	"C00-D48"	64492	14689359	439.0
	"66 years"	"66"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	891	14689359	6.1
	"66 years"	"66"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	13139	14689359	89.4
	"66 years"	"66"	"Mental and behavioural disorders"	"F01-F99"	3510	14689359	23.9
	"66 years"	"66"	"Diseases of the nervous system"	"G00-G98"	7839	14689359	53.4
	"66 years"	"66"	"Diseases of the circulatory system"	"I00-I99"	59766	14689359	406.9
	"66 years"	"66"	"Diseases of the respiratory system"	"J00-J98"	19900	14689359	135.5
	"66 years"	"66"	"Diseases of the digestive system"	"K00-K92"	11153	14689359	75.9
	"66 years"	"66"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	425	14689359	2.9
	"66 years"	"66"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	1141	14689359	7.8
	"66 years"	"66"	"Diseases of the genitourinary system"	"N00-N98"	5144	14689359	35.0
	"66 years"	"66"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	347	14689359	2.4
	"66 years"	"66"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1633	14689359	11.1
	"66 years"	"66"	"Codes for special purposes"	"U00-U99"	15897	14689359	108.2
	"66 years"	"66"	"External causes of morbidity and mortality"	"V01-Y89"	11431	14689359	77.8
	"67 years"	"67"	"Certain infectious and parasitic diseases"	"A00-B99"	6036	14120662	42.7
	"67 years"	"67"	"Neoplasms"	"C00-D48"	66608	14120662	471.7
	"67 years"	"67"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	873	14120662	6.2
	"67 years"	"67"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	13622	14120662	96.5
	"67 years"	"67"	"Mental and behavioural disorders"	"F01-F99"	3706	14120662	26.2
	"67 years"	"67"	"Diseases of the nervous system"	"G00-G98"	8400	14120662	59.5
	"67 years"	"67"	"Diseases of the circulatory system"	"I00-I99"	60879	14120662	431.1
	"67 years"	"67"	"Diseases of the respiratory system"	"J00-J98"	20823	14120662	147.5
	"67 years"	"67"	"Diseases of the digestive system"	"K00-K92"	10832	14120662	76.7
	"67 years"	"67"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	469	14120662	3.3
	"67 years"	"67"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	1242	14120662	8.8
	"67 years"	"67"	"Diseases of the genitourinary system"	"N00-N98"	5257	14120662	37.2
	"67 years"	"67"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	342	14120662	2.4
	"67 years"	"67"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1679	14120662	11.9
	"67 years"	"67"	"Codes for special purposes"	"U00-U99"	16089	14120662	113.9
	"67 years"	"67"	"External causes of morbidity and mortality"	"V01-Y89"	11132	14120662	78.8
	"68 years"	"68"	"Certain infectious and parasitic diseases"	"A00-B99"	6013	13597597	44.2
	"68 years"	"68"	"Neoplasms"	"C00-D48"	68141	13597597	501.1
	"68 years"	"68"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	903	13597597	6.6
	"68 years"	"68"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	13974	13597597	102.8
	"68 years"	"68"	"Mental and behavioural disorders"	"F01-F99"	3679	13597597	27.1
	"68 years"	"68"	"Diseases of the nervous system"	"G00-G98"	9261	13597597	68.1
	"68 years"	"68"	"Diseases of the circulatory system"	"I00-I99"	62602	13597597	460.4
	"68 years"	"68"	"Diseases of the respiratory system"	"J00-J98"	22170	13597597	163.0
	"68 years"	"68"	"Diseases of the digestive system"	"K00-K92"	10589	13597597	77.9
	"68 years"	"68"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	458	13597597	3.4
	"68 years"	"68"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	1199	13597597	8.8
	"68 years"	"68"	"Diseases of the genitourinary system"	"N00-N98"	5659	13597597	41.6
	"68 years"	"68"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	273	13597597	2.0
	"68 years"	"68"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1671	13597597	12.3
	"68 years"	"68"	"Codes for special purposes"	"U00-U99"	16828	13597597	123.8
	"68 years"	"68"	"External causes of morbidity and mortality"	"V01-Y89"	10602	13597597	78.0
	"69 years"	"69"	"Certain infectious and parasitic diseases"	"A00-B99"	6175	13132489	47.0
	"69 years"	"69"	"Neoplasms"	"C00-D48"	70340	13132489	535.6
	"69 years"	"69"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	961	13132489	7.3
	"69 years"	"69"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	14064	13132489	107.1
	"69 years"	"69"	"Mental and behavioural disorders"	"F01-F99"	4064	13132489	30.9
	"69 years"	"69"	"Diseases of the nervous system"	"G00-G98"	10356	13132489	78.9
	"69 years"	"69"	"Diseases of the circulatory system"	"I00-I99"	64881	13132489	494.0
	"69 years"	"69"	"Diseases of the respiratory system"	"J00-J98"	23283	13132489	177.3
	"69 years"	"69"	"Diseases of the digestive system"	"K00-K92"	10664	13132489	81.2
	"69 years"	"69"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	489	13132489	3.7
	"69 years"	"69"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	1268	13132489	9.7
	"69 years"	"69"	"Diseases of the genitourinary system"	"N00-N98"	5984	13132489	45.6
	"69 years"	"69"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	263	13132489	2.0
	"69 years"	"69"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1687	13132489	12.8
	"69 years"	"69"	"Codes for special purposes"	"U00-U99"	17278	13132489	131.6
	"69 years"	"69"	"External causes of morbidity and mortality"	"V01-Y89"	10112	13132489	77.0
	"70 years"	"70"	"Certain infectious and parasitic diseases"	"A00-B99"	6361	12702848	50.1
	"70 years"	"70"	"Neoplasms"	"C00-D48"	72952	12702848	574.3
	"70 years"	"70"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	916	12702848	7.2
	"70 years"	"70"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	14966	12702848	117.8
	"70 years"	"70"	"Mental and behavioural disorders"	"F01-F99"	4432	12702848	34.9
	"70 years"	"70"	"Diseases of the nervous system"	"G00-G98"	11569	12702848	91.1
	"70 years"	"70"	"Diseases of the circulatory system"	"I00-I99"	68574	12702848	539.8
	"70 years"	"70"	"Diseases of the respiratory system"	"J00-J98"	25632	12702848	201.8
	"70 years"	"70"	"Diseases of the digestive system"	"K00-K92"	10658	12702848	83.9
	"70 years"	"70"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	500	12702848	3.9
	"70 years"	"70"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	1352	12702848	10.6
	"70 years"	"70"	"Diseases of the genitourinary system"	"N00-N98"	6462	12702848	50.9
	"70 years"	"70"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	233	12702848	1.8
	"70 years"	"70"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1844	12702848	14.5
	"70 years"	"70"	"Codes for special purposes"	"U00-U99"	17849	12702848	140.5
	"70 years"	"70"	"External causes of morbidity and mortality"	"V01-Y89"	9890	12702848	77.9
	"71 years"	"71"	"Certain infectious and parasitic diseases"	"A00-B99"	6493	12494756	52.0
	"71 years"	"71"	"Neoplasms"	"C00-D48"	76621	12494756	613.2
	"71 years"	"71"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	1018	12494756	8.1
	"71 years"	"71"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	15758	12494756	126.1
	"71 years"	"71"	"Mental and behavioural disorders"	"F01-F99"	4943	12494756	39.6
	"71 years"	"71"	"Diseases of the nervous system"	"G00-G98"	13336	12494756	106.7
	"71 years"	"71"	"Diseases of the circulatory system"	"I00-I99"	72727	12494756	582.1
	"71 years"	"71"	"Diseases of the respiratory system"	"J00-J98"	27748	12494756	222.1
	"71 years"	"71"	"Diseases of the digestive system"	"K00-K92"	11234	12494756	89.9
	"71 years"	"71"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	534	12494756	4.3
	"71 years"	"71"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	1408	12494756	11.3
	"71 years"	"71"	"Diseases of the genitourinary system"	"N00-N98"	7066	12494756	56.6
	"71 years"	"71"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	238	12494756	1.9
	"71 years"	"71"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1882	12494756	15.1
	"71 years"	"71"	"Codes for special purposes"	"U00-U99"	18618	12494756	149.0
	"71 years"	"71"	"External causes of morbidity and mortality"	"V01-Y89"	9882	12494756	79.1
	"72 years"	"72"	"Certain infectious and parasitic diseases"	"A00-B99"	6472	11588562	55.8
	"72 years"	"72"	"Neoplasms"	"C00-D48"	76099	11588562	656.7
	"72 years"	"72"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	1000	11588562	8.6
	"72 years"	"72"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	15718	11588562	135.6
	"72 years"	"72"	"Mental and behavioural disorders"	"F01-F99"	5486	11588562	47.3
	"72 years"	"72"	"Diseases of the nervous system"	"G00-G98"	14859	11588562	128.2
	"72 years"	"72"	"Diseases of the circulatory system"	"I00-I99"	74274	11588562	640.9
	"72 years"	"72"	"Diseases of the respiratory system"	"J00-J98"	28679	11588562	247.5
	"72 years"	"72"	"Diseases of the digestive system"	"K00-K92"	10896	11588562	94.0
	"72 years"	"72"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	588	11588562	5.1
	"72 years"	"72"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	1481	11588562	12.8
	"72 years"	"72"	"Diseases of the genitourinary system"	"N00-N98"	7248	11588562	62.5
	"72 years"	"72"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	232	11588562	2.0
	"72 years"	"72"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1924	11588562	16.6
