"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"82 years"	"82"	"Female"	"F"	"Neoplasms"	"C00-D48"	29551	2889480	1022.7
	"82 years"	"82"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	499	2889480	17.3
	"82 years"	"82"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	7296	2889480	252.5
	"82 years"	"82"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	9072	2889480	314.0
	"82 years"	"82"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	18353	2889480	635.2
	"82 years"	"82"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	46190	2889480	1598.6
	"82 years"	"82"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	16749	2889480	579.7
	"82 years"	"82"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	4873	2889480	168.6
	"82 years"	"82"	"Female"	"F"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	324	2889480	11.2
	"82 years"	"82"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	885	2889480	30.6
	"82 years"	"82"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	4577	2889480	158.4
	"82 years"	"82"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	84	2889480	2.9
	"82 years"	"82"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1366	2889480	47.3
	"82 years"	"82"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	8890	2889480	307.7
	"82 years"	"82"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	4098	2889480	141.8
	"82 years"	"82"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	2942	2134186	137.9
	"82 years"	"82"	"Male"	"M"	"Neoplasms"	"C00-D48"	33045	2134186	1548.4
	"82 years"	"82"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	444	2134186	20.8
	"82 years"	"82"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	7488	2134186	350.9
	"82 years"	"82"	"Male"	"M"	"Mental and behavioural disorders"	"F01-F99"	6116	2134186	286.6
	"82 years"	"82"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	14719	2134186	689.7
	"82 years"	"82"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	48383	2134186	2267.0
	"82 years"	"82"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	16395	2134186	768.2
	"82 years"	"82"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	3999	2134186	187.4
	"82 years"	"82"	"Male"	"M"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	274	2134186	12.8
	"82 years"	"82"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	627	2134186	29.4
	"82 years"	"82"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	4528	2134186	212.2
	"82 years"	"82"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	55	2134186	2.6
	"82 years"	"82"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1064	2134186	49.9
	"82 years"	"82"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	10654	2134186	499.2
	"82 years"	"82"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	5451	2134186	255.4
	"83 years"	"83"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	3251	2686478	121.0
	"83 years"	"83"	"Female"	"F"	"Neoplasms"	"C00-D48"	28804	2686478	1072.2
	"83 years"	"83"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	549	2686478	20.4
	"83 years"	"83"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	7381	2686478	274.7
	"83 years"	"83"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	10336	2686478	384.7
	"83 years"	"83"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	19907	2686478	741.0
	"83 years"	"83"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	49254	2686478	1833.4
	"83 years"	"83"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	16774	2686478	624.4
	"83 years"	"83"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	4707	2686478	175.2
	"83 years"	"83"	"Female"	"F"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	356	2686478	13.3
	"83 years"	"83"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	970	2686478	36.1
	"83 years"	"83"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	4823	2686478	179.5
	"83 years"	"83"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	78	2686478	2.9
	"83 years"	"83"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1394	2686478	51.9
	"83 years"	"83"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	8775	2686478	326.6
	"83 years"	"83"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	4279	2686478	159.3
	"83 years"	"83"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	3007	1928117	156.0
	"83 years"	"83"	"Male"	"M"	"Neoplasms"	"C00-D48"	31767	1928117	1647.6
	"83 years"	"83"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	496	1928117	25.7
	"83 years"	"83"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	7103	1928117	368.4
	"83 years"	"83"	"Male"	"M"	"Mental and behavioural disorders"	"F01-F99"	6585	1928117	341.5
	"83 years"	"83"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	15203	1928117	788.5
	"83 years"	"83"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	49573	1928117	2571.1
	"83 years"	"83"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	16049	1928117	832.4
	"83 years"	"83"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	3924	1928117	203.5
	"83 years"	"83"	"Male"	"M"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	245	1928117	12.7
	"83 years"	"83"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	608	1928117	31.5
	"83 years"	"83"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	4619	1928117	239.6
	"83 years"	"83"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	74	1928117	3.8
	"83 years"	"83"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1105	1928117	57.3
	"83 years"	"83"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	10687	1928117	554.3
	"83 years"	"83"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	5411	1928117	280.6
	"84 years"	"84"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	3376	2445299	138.1
	"84 years"	"84"	"Female"	"F"	"Neoplasms"	"C00-D48"	27422	2445299	1121.4
	"84 years"	"84"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	544	2445299	22.2
	"84 years"	"84"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	7365	2445299	301.2
	"84 years"	"84"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	11310	2445299	462.5
	"84 years"	"84"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	21286	2445299	870.5
	"84 years"	"84"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	51544	2445299	2107.9
	"84 years"	"84"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	16499	2445299	674.7
	"84 years"	"84"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	4687	2445299	191.7
	"84 years"	"84"	"Female"	"F"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	326	2445299	13.3
	"84 years"	"84"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	860	2445299	35.2
	"84 years"	"84"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	4732	2445299	193.5
	"84 years"	"84"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	96	2445299	3.9
	"84 years"	"84"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1427	2445299	58.4
	"84 years"	"84"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	8978	2445299	367.2
	"84 years"	"84"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	4325	2445299	176.9
	"84 years"	"84"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	2834	1705753	166.1
	"84 years"	"84"	"Male"	"M"	"Neoplasms"	"C00-D48"	30041	1705753	1761.2
	"84 years"	"84"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	458	1705753	26.9
	"84 years"	"84"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	7029	1705753	412.1
	"84 years"	"84"	"Male"	"M"	"Mental and behavioural disorders"	"F01-F99"	7149	1705753	419.1
	"84 years"	"84"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	15708	1705753	920.9
	"84 years"	"84"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	49656	1705753	2911.1
	"84 years"	"84"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	15780	1705753	925.1
	"84 years"	"84"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	3821	1705753	224.0
	"84 years"	"84"	"Male"	"M"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	268	1705753	15.7
	"84 years"	"84"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	602	1705753	35.3
	"84 years"	"84"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	4523	1705753	265.2
	"84 years"	"84"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	63	1705753	3.7
	"84 years"	"84"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1096	1705753	64.3
	"84 years"	"84"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	10173	1705753	596.4
	"84 years"	"84"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	5299	1705753	310.7
	"85 years"	"85"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	3263	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"Neoplasms"	"C00-D48"	26457	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	566	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	7341	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	12342	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	22680	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	54358	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	16757	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	4785	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	304	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	938	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	4704	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	72	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1572	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	9179	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	4794	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	2790	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"Neoplasms"	"C00-D48"	28435	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	463	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	6672	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"Mental and behavioural disorders"	"F01-F99"	7721	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	16330	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	50016	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	15282	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	3600	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	245	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	548	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	4532	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	67	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1114	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	9983	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	5374	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	3135	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"Neoplasms"	"C00-D48"	25149	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	560	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	7708	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	13523	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	23779	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	57668	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	16678	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	4694	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	348	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	868	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	4760	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	78	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1696	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	9019	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	4743	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	2715	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"Neoplasms"	"C00-D48"	26712	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	418	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	6400	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"Mental and behavioural disorders"	"F01-F99"	8030	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	15880	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	49845	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	14999	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	3530	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	228	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	553	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	4412	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	65	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1150	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	9438	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	5208	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	3251	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"Neoplasms"	"C00-D48"	24147	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	599	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	7394	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	14815	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	25024	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	59924	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	16638	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	4756	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	320	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	910	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	4888	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	90	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1809	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	8767	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	4765	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	2595	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"Neoplasms"	"C00-D48"	25063	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	441	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	6297	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"Mental and behavioural disorders"	"F01-F99"	8323	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	15669	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	49822	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	14641	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	3371	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	224	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	562	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	4304	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	57	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1218	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	8903	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	5111	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	3178	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"Neoplasms"	"C00-D48"	22520	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	596	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	7541	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	16080	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	26183	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	62720	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	16474	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	4766	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	296	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	954	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	4909	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	75	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1839	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	8978	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	5034	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	2556	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"Neoplasms"	"C00-D48"	23160	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	446	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	5955	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"Mental and behavioural disorders"	"F01-F99"	8509	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	15626	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	49879	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	14041	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	3213	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	215	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	548	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	4347	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	53	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1185	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	8453	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	5061	Not Applicable	Not Applicable
	"89 years"	"89"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	3059	Not Applicable	Not Applicable
	"89 years"	"89"	"Female"	"F"	"Neoplasms"	"C00-D48"	21192	Not Applicable	Not Applicable
	"89 years"	"89"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	595	Not Applicable	Not Applicable
	"89 years"	"89"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	7499	Not Applicable	Not Applicable
	"89 years"	"89"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	16992	Not Applicable	Not Applicable
